,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,대표장르,감독,배우
45,46,놉,2022-08-17,4709541135,0.40%,4709541135,415969,415969,1031,"31,744",미국,미국,정보없음,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,미스터리,조던 필,"다니엘 칼루야,키키 팰머,스티븐 연,마이클 윈콧,브랜든 페레아"
46,47,리멤버,2022-10-26,3969817717,0.30%,3969817717,412778,412778,1189,"51,985",한국,한국,(주)영화사 월광,(주)에이스메이커무비웍스,15세이상관람가,드라마,이일형,"이성민,남주혁,박근형,정만식,윤제문,송영창,문창길,박병호,최민철,남문철,양현민,박세현,윤우,박서연,하도권,이승준,박민이,이서준,송유현,하영,김귀선,이창직,남민우,이우성,김우진,한사명,함희수,정순원,김훈만,정영섭,이재혁,조태일,박성현,공경배,황연희,설창희,권범택,남상지,윤기창,박진영,이지유,김율호,강충훈,권반석,구자건,정충구,김민체,배명진,윤세웅,백익남,최솔희,권민경,오유미,이승준,한창현,박충환,서동복,강춘성,배기림,김도경,전두현,김태웅,김성곤,한지호,반혜영,조현수,김해준,이우주,진범일,노희중,한명철,곽나연,백승환,김윤찬,이정철,최기상,김성하,박병관,송경아,박용복,황영수,강종성,김상동,김지현,채승혜,박혜영,정예서,이다정,서호준,김관수,문지현,홍인아,정상현,김홍파,김근영,정한빈"
47,48,킹스맨: 퍼스트 에이전트,2021-12-22,4159334510,0.40%,10313351770,406904,1029365,913,"27,268",미국,미국,정보없음,월트디즈니컴퍼니코리아 유한책임회사,청소년관람불가,액션,매튜 본,"랄프 파인즈,해리스 딕킨슨,리스 이판,젬마 아터튼,디몬 하운수,매튜 구드,톰 홀랜더,다니엘 브륄,찰스 댄스,애론 테일러 존슨,스탠리 투치,알렉산드라 마리아 라라,크리스티안 네크라소프"
48,49,배드 가이즈,2022-05-04,3781458170,0.30%,3781458170,400329,400329,844,"22,867",미국,미국,정보없음,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,피에르 페리펠,"샘 록웰,크레이그 로빈슨,안소니 라모스,아콰피나,재지 비츠"
49,50,뜨거운 피,2022-03-23,3782750970,0.30%,3782750970,398090,398090,1279,"53,956",한국,한국,주식회사 고래픽처스,"(주)스튜디오디에이치엘,(주)키다리스튜디오",15세이상관람가,범죄,천명관,"정우,김갑수,최무성,지승현,김해곤,윤지혜,이홍내,정호빈,김종구,이영석,차순배,허동원,이호철,이성우,배명진,정기섭,김강일,성낙경,현봉식,유순웅,최홍일,백수희,허지원,양희명,정영록,윤대열,윤탁,최광제,양지수,서정우,신미영,김우진,박지홍,김승현,김주희,최민석,김진혁,유현,최범호,서광재,이해성,전병덕,박상규,김흥태,이신영,이선주,박지원,김태현,천영암,이병수,유인혜,주재윤,남윤주,이익수,오지영,임유란,김리원,한희경,이은주,김탁,허성우,이경훈,김보경,조셉,박진수,김준섭,고남호,박영준,양영일,김지한,강은지,김시혜,서유림,임소현,안지훈,김병남,박세정,송태완,왕나경,황정윤,김영건,이다혜,이일현,정규연,고진우,김혜지,김정준,장현아,김다슬,최필규,김범준,김태균,서준영,진혁,왕경빈,서영수,장명진,한대훈,황진호,박원우,윤제문,정영주,김단비,김현"
50,51,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,3417319076,0.30%,3417319076,356783,356783,686,"12,996",한국,한국,(주)씨제이이엔엠,(주)씨제이이엔엠,전체관람가,애니메이션,변영규,"김영은,김채하,신용우,조현정,양정화,강새봄,김명준,김현수,박성태,김율,강성우,유혜지,여민정,이달래,이우리,김동현,김윤기,황동현,채림,박이서"
51,52,에브리씽 에브리웨어 올 앳 원스,2022-10-12,3787226770,0.30%,3787226770,356048,356048,620,"29,220",미국,미국,정보없음,워터홀컴퍼니(주),15세이상관람가,액션,"다니엘 콴,다니엘 쉐이너트","양자경,스테파니 수,키 호이 콴,제이미 리 커티스"
52,53,버즈 라이트이어,2022-06-15,3511804460,0.30%,3511804460,344774,344774,844,"21,869",미국,미국,정보없음,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,앵거스 맥클레인,"크리스 에반스,타이카 와이티티,피터 손"
53,54,탄생,2022-11-30,3027962441,0.30%,3027962441,335938,335938,690,"20,129",한국,한국,"민영화사,가톨릭문화원 ALMA ART","씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",12세이상관람가,드라마,박흥식,"윤시윤,안성기,윤경호,이문식,이호원,이경영,신정근,송지연,하경,김광규,임현수,김승훈,박지훈,성혁,백지원,최무성,차청화,남다름,이준혁,강말금,김강우,정유미,강덕중,송길호,정준환,송훈,한창현,이문빈,고봉구,김동현,이승훈,조재룡,최윤우,한바다,김용태,이경훈,최로운,최민주,김형도,김나운,나기수,강두,박주연,장민영,김여준,공현지,이용이,김대종,이호영,이용헌,오현진,김성수,김재훈,신성용,고해성,전운종,김기현,김주헌,장용원,황수진,양정인,윤지애"
54,55,그대가 조국,2022-05-25,3110252870,0.30%,3110252870,333633,333633,601,"11,222",한국,한국,(주)켈빈클레인프로젝트,(주)엣나인필름,12세이상관람가,다큐멘터리,이승준,조국
55,56,수퍼 소닉2,2022-04-06,2849033410,0.20%,2849033410,315288,315288,1129,"27,105",미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,애니메이션,제프 파울러,"제임스 마스던,짐 캐리,벤 슈왈츠,이드리스 엘바,티카 섬터"
56,57,DC 리그 오브 슈퍼-펫,2022-08-10,2322641159,0.20%,2322641159,248798,248798,585,"13,069",미국,미국,정보없음,워너브러더스 코리아(주),전체관람가,애니메이션,"자레드 스턴,샘 레빈","드웨인 존슨,케빈 하트,키아누 리브스,존 크래신스키"
57,58,나일 강의 죽음,2022-02-09,2242081480,0.20%,2242081480,232883,232883,1041,"34,168",미국,미국,정보없음,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,범죄,케네스 브래너,"케네스 브래너,갤 가돗,아미 해머,에마 매키"
58,59,아바타 리마스터링,2022-09-21,3895090540,0.30%,3895090540,230712,230712,285,"9,881",미국,미국,정보없음,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,SF,제임스 카메론,"샘 워싱턴,조 샐다나,시고니 위버,스티븐 랭"
59,60,극장판 헬로카봇: 수상한 마술단의 비밀,2022-09-28,2140400817,0.20%,2140400817,228380,228380,790,"12,678",한국,한국,"(주)초이락컨텐츠컴퍼니,스튜디오더블유바바(주)",롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,애니메이션,"최신규,이슬기,정승원","이지현,조경이,김용준,양정화,조경이,엄상현,홍범기,사문영,송준석,이정구,이장원,강시현,이현,원에스더"
60,61,문폴,2022-03-16,1962767300,0.20%,1962767300,195344,195344,1174,"32,497",미국,미국,정보없음,(주)누리픽쳐스,12세이상관람가,액션,롤랜드 에머리히,"할리 베리,패트릭 윌슨,존 브래들리,마이클 페나,도날드 서덜랜드"
61,62,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,1740432400,0.20%,1740432400,193344,193344,380,"8,605",한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,"이선,이미자,김현지,홍소영,정미숙,김서영,김환진,이호산,엄상현"
62,63,원피스 필름 레드,2022-11-30,2060258368,0.20%,2060258368,192703,192703,550,"14,265",일본,일본,정보없음,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,애니메이션,타니구치 고로,정보없음
63,64,오펀: 천사의 탄생,2022-10-12,1808701476,0.20%,1808701476,177871,177871,707,"20,178",미국,미국,정보없음,메가박스중앙(주),15세이상관람가,공포(호러),윌리엄 브렌트 벨,"이사벨 퍼만,줄리아 스타일즈,로지프 서덜랜드"
64,65,극장판 엄마 까투리: 도시로 간 까투리 가족,2022-09-08,1597219099,0.10%,1597219099,172165,172165,616,"9,318",한국,한국,(주)퍼니플럭스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,정길훈,"김서영,이윤희,김은아,전해리,이지현,양정화,홍범기,엄상현,이현,이명호"
65,66,앵커,2022-04-20,1651791610,0.10%,1651791610,171255,171255,1032,"26,638",한국,한국,"(주)인사이트필름,(주)어바웃잇,(주)디씨지플러스",(주)에이스메이커무비웍스,15세이상관람가,스릴러,정지연,"천우희,이혜영,신하균,차래형,박지현,남문철,임성재,김영필,이해운,정순원,박세현,서이수,김영아,박새힘,서지승,성찬호,정찬훈,마정필,김경민,김성준,김대흥,전세용,목규리,차준명,김세희,양은솔,유수정,이채린,한사명,신희철,강성락,이민하,김정환,신현규,김주연,문성현,김지아,도예림,송화현,오수민,김유현,이지,이미래,박장면,장우영,박정원,장유화,문혜인,양말복,김철윤,박세훈,안세원,박경찬,안민영,김태원,배단희,김지유,이윤재,홍나실,이동원,장준현,김수현,남지현,이대겸,박시현,김형석,한상조"
66,67,공기살인,2022-04-22,1473339250,0.10%,1473339250,158265,158265,756,"20,626",한국,한국,"(주)마스터원엔터테인먼트,TCO(주)더콘텐츠온","TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)",12세이상관람가,드라마,조용선,"서지환,김상경,이선빈,윤경호,서영희,장혁진,김정태,송영규,이지훈,이유준,정호빈,장광,성병숙,정의갑,김영웅,조서후,차정환,김하언,황만익,장해송,이정민,조수하,심완준,홍도성,이용준,이필라,이재환,이지현,우가은,정시율,박노아,남명렬,김동용,신삼봉,유지수,유병선,김현지,조유진,이미라,이가경,김형준,이효제,김민광,이지인,배유리,이상구,임정운,김경식,이시우,김서원,이대한,최성아,진선미,강태우,윤정열,노정현"
67,68,극장판 엉덩이 탐정: 수플레 섬의 비밀,2022-05-05,1410099740,0.10%,1410099740,152768,152768,770,"8,741",일본,일본,정보없음,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,자코 아키후미,정보없음
68,69,젠틀맨,2022-12-28,1421084655,0.10%,1421084655,152558,152558,751,"9,229",한국,한국,"(주)트릭스터,주식회사 에이치앤드엔터테인먼트",플러스엠 엔터테인먼트,15세이상관람가,범죄,김경원,"정혜자,주지훈,박성웅,최성은,강홍석,이달,박혜은,권한솔,이서환,박지훈,표영서,장천,임성재,이현균,한사명,곽민규,김난희,송광주,김귀선,한으뜸,오아연,한동희,김은민,최희진,김승비,이화정,이훈경,마웅규,최창욱,송방호,이윤재,임종화,홍석빈,조석인,배성일,박형준,이용석,김연진,서태왕,나경철,안예은,유병선"
69,70,불릿 트레인,2022-08-24,1554615073,0.10%,1554615073,143620,143620,904,"19,957",미국,미국,정보없음,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,액션,데이빗 레이치,"브래드 피트,조이 킹,애론 테일러 존슨,브라이언 타이리 헨리,배드 버니"
70,71,하우스 오브 구찌,2022-01-12,1415538730,0.10%,1415538730,143619,143619,734,"16,261",미국,미국,정보없음,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,범죄,리들리 스콧,"레이디 가가,아담 드라이버,자레드 레토,제레미 아이언스,알 파치노,셀마 헤이엑"
71,72,웨스트 사이드 스토리,2022-01-12,1225528640,0.10%,1232083640,122706,123143,754,"15,317",미국,미국,정보없음,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,드라마,스티븐 스필버그,"안셀 엘고트,레이첼 지글러,아리아나 데보스,데이비드 알바즈,마이크 파이스트"
72,73,해피 뉴 이어,2021-12-29,1183820530,0.10%,2195273900,122596,236642,771,"11,274",한국,한국,(주)하이브미디어코프,"(주)씨제이이엔엠,주식회사 티빙",12세이상관람가,멜로/로맨스,곽재용,"한지민,이동욱,강하늘,임윤아,원진아,이혜영,정진영,김영광,서강준,이광수,고성희,이진욱,조준영,원지안,이규형,박성일,임성재,이종욱,김승훈,배해선,남명렬,백은혜,최수민,한서울,강영주,박종찬,이지훈,황태희,송유현,이주한,김수겸,김승찬,박종혁,차동하,오민애,이세인,류제희,이동찬,양대성,정해진,김미준,임슬기,김대겸,김지연,이수연,이승희,서문호,송경아,김진혁,김예은,이기창,정한슬,윤해주,주예린,김동현,김기훈,신종호,조현수,임유란,이무영,김경형,박시현,장순성,채하니,정수용,서명찬,김만기,박세아,전시완,이용문,고은별,편강윤,서은영,고은수,손예지,고윤빈,임한순,김형남,설충용,최훈,박혜숙,김호연,김남순,신강균,백낙순,김윤식,김도건,유가혜,노영애,이원규,권상우,신성일,강석현,박준규,정유진"
73,74,극장판 안녕 자두야: 제주도의 비밀,2022-01-27,1071861980,0.10%,1071861980,121648,121648,618,"13,714",한국,한국,아툰즈,(주)씨제이이엔엠,전체관람가,애니메이션,손석우,"여민정,정혜옥,김영은,양정화,정유미,정혜원,김새해,강성우,김현지,양정화,최준영,김영은,정혜옥,김새해,김다올,김현지,정유정,김영은,최준영,김다올,김새해,강성우,김다올,정유정,정유미,김현지,김다올,강성우"
74,75,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,1093855619,0.10%,1093855619,118023,118023,626,"4,937",기타,기타,정보없음,메가박스중앙(주),전체관람가,애니메이션,알렉세이 트시칠린,정보없음
